StationCode,saltwater
EH-030,True
EH-033,True
EH-041,False
EH-050,True
EH-053,True
EH-056,True
EH-060,True
EH-062,True
EH-070,True
EH-080,True
EH-090,True
EH-100,True
EH-120,True
EH-140,True
EH-160,True
EH-170,True
EH-190,True
EH-200,True
EH-205,True
EH-210,True
EH-211,True
EH-227,True
EH-230,True
EH-240,True
EH-250,True
EH-253,True
EH-255,True
EH-260,True
EH-270,True
EH-280,True
EH-290,False
EH-300,True
EH-303,True
EH-305,True
EH-310,True
EH-312,True
EH-320,False
EH-330,True
EH-340,True
EH-350,True
EH-353,False
EH-355,True
EH-360,True
EH-370,True
EH-380,True
EH-390,True
EH-400,True
EH-403,True
EH-405,True
EH-410,True
EH-420,True
EH-430,True
EH-435,True
EH-440,True
EH-450,True
EH-452,True
EH-455,True
EH-460,True
EH-470,False
EH-475,True
EH-476,True
EH-477,True
EH-480,True
EH-490,True
EH-500,True
EH-510,True
EH-520,True
EN-010,True
EN-020,True
EN-030,True
EN-040,True
EN-050,True
ENCINAL BEACH NORTH,True
ENCINAL BEACH SOUTH,True
ESC-MLS,False
ESC-TWAS-1,False
FM-010,True
FM-020,True
FM-030,True
FM-040,True
FM-050,True
FM-060,True
FM-070,True
FM-080,True
FM-090,True
FM-100,True
Fitzgerald Marine (Moss Beach),True
Folsom,False
Francis State Beach,True
Freeport,False
Gazos Creek Access,True
HYPS16,True
IB-010,True
IB-020,True
IB-030,True
IB-040,True
IB-050,True
IB-060,True
IB-070,True
IB-080,True
J25c,False
J30d,False
KR00670,False
KR03850,False
KR04360,False
KR05910,False
KR06610,False
KR10080,False
KR12850,False
KR14320,False
KR17680,False
KR18980,False
KR19650,False
Keller Mid Beach,True
Keller North Beach,True
Keller South Beach,True
LAC-TWAS-1,False
LM-SID-1,False
LM-SID-2,False
LM-SID-3,False
LPC-MLS,False
LPC-TWAS-1,False
LPC-TWAS-2,False
Linda Mar Beach #5,True
Linda Mar Beach #6,True
MB-010,True
MB-015,True
MB-020,True
MB-030,True
MB-031,True
MB-040,True
MB-041,True
MB-042,True
MB-050,True
MB-051,True
MB-053,True
MB-058,True
MB-060,True
MB-061,True
MB-070,True
MB-071,True
MB-080,True
MB-085,True
MB-090,True
MB-091,True
MB-100,True
MB-101,True
MB-110,True
MB-111,True
MB-120,True
MB-130,True
MB-131,True
MB-132,True
MB-135,True
MB-140,True
MB-150,True
MB-151,True
MB-160,True
MB-161,True
MB-170,True
MB-173,False
MB-180,True
MB-190,True
MB-191,True
MB-192,False
